,Biomethane,Biomethane + CCS Syngas,Biomethane + CCS Syngas + CCS Heating,Biomethane + CCS Upgrading,Biomethane + CCS Upgrading + CCS Syngas,Biomethane + CCS Upgrading + CCS Syngas + CCS Heating
DE,1.8428641267015677,0.5450721524202656,0.1369953708043388,0.646089398422441,-0.6517025758584014,-1.0597793574733785
FR,1.6050871823178101,0.22763220784535804,-0.2661279219230685,0.32569559454388425,-1.0517593798346656,-1.5455195099303982
IT,2.0654828542788586,0.7541311126057533,0.3300533043330441,0.8532797539611154,-0.4580719877136532,-0.8821497959889933
ES,1.7286790379063388,0.3902442939360028,-0.0663083266744122,0.48516335388105003,-0.8532713900898242,-1.3098240106993397
PL,2.394810140302989,1.2012127653653437,0.879021597718733,1.2808472986455397,0.08724992362739119,-0.23494124407349717
GB,1.6451665160668243,0.3115331766068773,-0.1397003602261936,0.406779553164957,-0.9268537862942829,-1.3780873231285353
RO,1.8230322227895417,0.515286872256332,0.0856012133874837,0.6054219690931956,-0.7023233814390223,-1.1320090403049303
NL,1.6597471486499522,0.3655767003245011,-0.04332784716185975,0.4621742790961796,-0.8319961692320568,-1.240900716715402
HU,1.9098736516105528,0.5993716892133105,0.1700016683973249,0.6925677397226241,-0.6179342226786638,-1.0473042434904087
DK,1.7431054530203385,0.3951256518758172,-0.06994446800571875,0.49137709924530565,-0.8566027018995284,-1.3216728217806215
SE,1.1387640590237416,-0.24776707201393,-0.7498228570097444,-0.14862629405478356,-1.5351574250904139,-2.037213210089167
IE,1.9010810005805365,0.5838990597010084,0.14498043725507978,0.6745682183106799,-0.6426137225718098,-1.0815323450163734
CZ,2.121606957166222,0.8649019710465784,0.48861937397862276,0.9554885435270626,-0.3012164425872508,-0.6774990396571203
BG,2.0454337943837375,0.7608828450834055,0.35701729154649176,0.8527195801520443,-0.4318313691485318,-0.8356969226875504
BE,1.5464717971827289,0.1935465581732629,-0.2752153097259088,0.2911838179437563,-1.0617414210672484,-1.5305032889675374
PT,1.5978420571893237,0.2744494740209762,-0.16884741531378786,0.36710770014383765,-0.9562848830222922,-1.3995817723580741
GR,2.2141127249656956,0.9578997071315567,0.5909808209710512,1.0570229079672544,-0.19919010985922264,-0.5661089960188327
FI,1.2202440067266032,-0.12728697360583213,-0.5922204055679305,-0.03135255099889838,-1.3788835313333105,-1.8438169632961774
AT,1.6103595816026401,0.27194829760731504,-0.18382526423043094,0.3675950749122131,-0.9708162090828273,-1.4265897709221016
CH,1.33556874026076,-0.04847113761319369,-0.5483951736533068,0.050234930704787455,-1.3338049471515392,-1.8337289831978727
LT,1.854668244981962,0.5585905379834685,0.13996515663635295,0.6477224367665447,-0.6483552702300672,-1.0669806515792826
NO,1.4815361708487054,0.09285275041477963,-0.41099434131188123,0.19241861943173158,-1.196264801001022,-1.7001118927290817
SK,1.860277244834474,0.551692895521251,0.124364746190473,0.6449401286655785,-0.6636442206440667,-1.0909723699754665
HR,1.9728630867709451,0.6711895662301386,0.24547064590081208,0.7590776075282846,-0.5425959130107925,-0.9683148333364814
LV,1.528817886953798,0.248901618433115,-0.1548388110009465,0.3362243188054379,-0.943691949715002,-1.3474323791506009
EE,1.9991790838557764,0.7436597447181842,0.36305307593886954,0.8288913510587237,-0.4266279880804868,-0.8072346568576326
SI,1.8511076139737206,0.5329663076591843,0.09590884691132763,0.62638938499574,-0.6917519213195222,-1.128809382066275
